Institución;Carrera;Retención de 1er año;Empleabilidad al 1er año;Empleabilidad al 2º Año;Duración Real (semestres);Ingreso promedio al 4° año
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;Ingeniería en Informática;69,4%;79,5%;s/i;s/i;s/i
UNIVERSIDAD DE LOS LAGOS;Ingeniería en Administración de Empresas;s/i;79,2%;76,4%;s/i;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD DE LOS LAGOS;Ingeniería de Ejecución en Alimentos;s/i;56,4%;68,9%;s/i;s/i
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Gestión Turística;78,1%;64,2%;s/i;124;s/i
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Administración Agroindustrial;s/i;60,0%;73,4%;s/i;s/i
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería Civil en Computación mención Informática;83,6%;90,0%;98,0%;144;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería Civil en Obras Civiles;82,9%;74,3%;90,6%;161;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería Civil Industrial;89,1%;85,7%;92,6%;146;De $2 millones a $2 millones 100 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería Comercial;83,3%;78,4%;87,9%;117;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Biotecnología;81,7%;71,2%;61,9%;s/i;s/i
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Comercio Internacional;82,6%;86,0%;91,8%;136;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Informática;90,1%;87,1%;96,5%;129;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Construcción;89,2%;76,7%;80,4%;127;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Geomensura, Cartografía y Geomática;s/i;84,4%;88,0%;156;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería en Química;64,0%;85,0%;94,0%;s/i;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD TECNOLOGICA METROPOLITANA;Ingeniería Industrial;s/i;81,6%;85,1%;s/i;De $1 millón 700 mil a $1 millón 800 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil Electricista;s/i;92,7%;90,7%;151;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil en Biotecnología;s/i;82,2%;s/i;s/i;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil de Computación;s/i;94,9%;91,2%;147;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil, Diplomas en Diseño y Construcción de Obras e Ingeniería y Gestión de la Construcción;s/i;97,1%;95,1%;158;De $2 millones 400 mil a $2 millones 500 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil de Industrias;s/i;95,7%;96,5%;148;Desde $3 millones a $3 millones 500 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Civil Mecánico;s/i;91,9%;95,5%;161;Desde $2 millones 500 mil a $3 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Comercial;95,3%;93,1%;96,1%;123;Desde $2 millones 500 mil a $3 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Ingeniería Forestal;s/i;74,4%;79,7%;124;s/i
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Eléctrica;83,1%;91,3%;92,6%;144;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Electrónica;85,7%;87,0%;88,6%;167;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Biomédica;88,2%;91,6%;89,5%;138;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Informática;82,0%;88,4%;95,1%;140;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil de Minas;85,3%;83,8%;93,8%;152;s/i
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Industrial;93,8%;85,1%;96,5%;134;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Mecánica;90,7%;83,8%;94,1%;150;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Metalúrgica;70,9%;77,1%;91,8%;163;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil Química;89,6%;84,7%;92,5%;144;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CONCEPCION;Ingeniería Civil;68,6%;84,4%;90,2%;143;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Comercial;76,6%;72,1%;80,8%;120;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE CONCEPCION;Bioingeniería e Ingeniería en Biotecnología;82,4%;55,4%;70,9%;153;De $1 millón 100 mil a $1 millón 200 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería Geomática;s/i;84,6%;87,2%;s/i;s/i
UNIVERSIDAD DE CONCEPCION;Ingeniería Ambiental;73,6%;71,4%;82,3%;146;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD DE CONCEPCION;Ingeniería en Conservación de Recursos Naturales;86,7%;61,5%;75,0%;141;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Ambiental;82,9%;88,4%;88,4%;s/i;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Eléctrica;92,5%;89,7%;92,2%;185;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Electrónica;87,5%;89,8%;92,8%;166;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Informática;89,2%;93,7%;95,4%;150;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil de Minas;91,7%;87,2%;91,5%;152;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Telemática;76,9%;98,1%;s/i;162;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Industrial;92,9%;92,5%;96,7%;147;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Matemática;92,9%;86,4%;s/i;152;s/i
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Mecánica;89,3%;91,9%;94,0%;169;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Metalurgia;82,8%;86,2%;96,4%;205;Sobre $3 millones 500 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil Química;87,2%;87,1%;95,4%;168;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Civil;89,9%;94,4%;96,1%;175;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería Comercial;83,2%;85,1%;92,2%;128;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería de Ejecución en Control e Instrumentación Industrial;s/i;91,0%;92,0%;s/i;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería en Informática, en Sistemas Computacionales y Software;72,6%;94,1%;96,4%;110;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería en Construcción;s/i;79,7%;80,2%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería en Prevención de Riesgos Laborales y Ambientales;72,7%;78,9%;80,7%;s/i;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería de Ejecución en Gestión Industrial, en Mantenimiento Industrial, y en Fabricación y Diseño Industrial;82,4%;85,6%;88,5%;113;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Ingeniería de Ejecución Mecánica de Procesos y Mantenimiento Industrial e Ingeniería Mecánica Industrial;s/i;82,4%;86,4%;182;De $1 millón 700 mil a $1 millón 800 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Bioquímica;92,1%;82,1%;82,0%;145;De $1 millón 400 mil a $1 millón 500 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Eléctrica;86,1%;95,8%;97,3%;149;Desde $2 millones 500 mil a $3 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Electrónica;82,9%;77,0%;95,2%;152;De $2 millones a $2 millones 100 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil en Informática;91,2%;81,8%;93,5%;132;De $2 millones 300 mil a $2 millones 400 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil de Minas;85,7%;72,6%;88,1%;144;Desde $2 millones 500 mil a $3 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Industrial;90,8%;93,8%;95,8%;144;De $2 millones 200 mil a $2 millones 300 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Mecánica;79,7%;78,2%;s/i;181;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Metalurgia Extractiva;87,5%;79,8%;92,2%;157;Desde $3 millones a $3 millones 500 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil Química;83,6%;73,8%;86,7%;143;De $2 millones 100 mil a $2 millones 200 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Civil;86,1%;84,2%;90,3%;139;De $1 millón 900 mil a $2 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Comercial;85,7%;83,9%;87,9%;147;De $1 millón 900 mil a $2 millones
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería en Bioprocesos;s/i;72,1%;s/i;s/i;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería de Ejecución en Informática;80,2%;77,4%;93,6%;106;De $2 millones a $2 millones 100 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería en Construcción;70,6%;80,6%;85,8%;140;De $1 millón 600 mil a $1 millón 700 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Eléctrica;65,5%;92,0%;91,9%;s/i;De $2 millones 100 mil a $2 millones 200 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería en Transporte y Tránsito;s/i;87,8%;s/i;s/i;s/i
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;Ingeniería Mecánica;69,4%;81,5%;87,3%;154;s/i
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Civil en Informática;76,5%;76,8%;s/i;s/i;s/i
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Civil en Obras Civiles;80,0%;78,8%;93,4%;154;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Civil Industrial;85,5%;79,5%;89,9%;143;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Civil Mecánica;87,5%;71,4%;87,0%;168;s/i
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Comercial;88,5%;73,0%;83,8%;125;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería en Construcción;73,2%;72,9%;87,3%;155;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería en Información y Control de Gestión;90,2%;86,5%;93,5%;s/i;s/i
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería en Conservación de Recursos Naturales;74,4%;59,1%;75,3%;134;De $1 millón 200 mil a $1 millón 300 mil
UNIVERSIDAD AUSTRAL DE CHILE;Ingeniería Naval;83,0%;87,5%;s/i;s/i;s/i
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil Ambiental;s/i;88,9%;s/i;s/i;s/i
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil en Computación e Informática;82,5%;86,5%;93,1%;133;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil de Minas;84,3%;80,5%;93,5%;s/i;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil Industrial;91,7%;85,2%;92,9%;121;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil Metalúrgica;82,0%;82,4%;94,6%;143;Sobre $3 millones 500 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Civil;70,0%;93,8%;94,6%;s/i;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería Comercial;86,5%;79,5%;86,2%;116;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería en Computación e Informática;86,8%;86,0%;s/i;106;s/i
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería en Construcción;s/i;90,7%;91,1%;122;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería en Información y Control de Gestión;84,1%;78,6%;83,7%;112;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD CATOLICA DEL NORTE;Ingeniería en Prevención de Riesgos y Medio Ambiente;82,1%;69,8%;80,6%;125;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD CATOLICA DEL MAULE;Ingeniería Civil Informática;84,0%;85,0%;s/i;147;s/i
UNIVERSIDAD CATOLICA DEL MAULE;Ingeniería Civil Industrial;92,5%;72,0%;92,7%;135;s/i
UNIVERSIDAD CATOLICA DEL MAULE;Ingeniería Comercial;86,5%;62,9%;67,3%;125;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD CATOLICA DEL MAULE;Ingeniería en Biotecnología;78,4%;66,3%;s/i;140;s/i
UNIVERSIDAD CATOLICA DEL MAULE;Ingeniería en Construcción;80,0%;78,5%;84,6%;130;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería de Ejecución en Administración de Empresas;66,7%;65,8%;71,2%;s/i;De $1 millón 100 mil a $1 millón 200 mil
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería Civil Informática;85,6%;87,8%;96,2%;s/i;s/i
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería Civil Industrial;90,3%;84,5%;91,7%;150;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería Civil;75,5%;73,3%;85,8%;170;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería Comercial;93,2%;72,0%;81,1%;123;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;Ingeniería de Ejecución Industrial;s/i;74,4%;77,3%;s/i;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD CATOLICA DE TEMUCO;Ingeniería Civil en Obras Civiles;77,4%;80,7%;86,2%;154;s/i
UNIVERSIDAD CATOLICA DE TEMUCO;Ingeniería Civil Industrial;89,0%;80,5%;86,1%;184;s/i
UNIVERSIDAD CATOLICA DE TEMUCO;Ingeniería Comercial;84,4%;57,0%;74,1%;156;De $1 millón 300 mil a $1 millón 400 mil
